Витрина,Критичность,Объём данных (ГБ),Кол-во связей,Качество данных,Сложность изменений,Ошибки в истории,Уровень риска
DWH_Vitrina_1,Низкая,65,10,67,1,5,Низкий
DWH_Vitrina_2,Высокая,56,13,74,10,2,Низкий
DWH_Vitrina_3,Высокая,108,5,80,6,2,Низкий
DWH_Vitrina_4,Высокая,21,21,98,8,1,Низкий
DWH_Vitrina_5,Высокая,42,5,91,2,5,Высокий
DWH_Vitrina_6,Высокая,50,11,63,3,1,Низкий
DWH_Vitrina_7,Средняя,16,21,70,10,7,Средний
DWH_Vitrina_8,Высокая,77,11,97,1,1,Низкий
DWH_Vitrina_9,Высокая,16,12,72,9,1,Низкий
DWH_Vitrina_10,Средняя,25,18,78,3,0,Низкий
DWH_Vitrina_11,Высокая,29,15,87,11,1,Низкий
DWH_Vitrina_12,Низкая,42,21,95,4,5,Низкий
DWH_Vitrina_13,Высокая,104,14,99,10,1,Низкий
DWH_Vitrina_14,Низкая,28,20,96,8,5,Низкий
DWH_Vitrina_15,Высокая,120,20,85,8,5,Высокий
DWH_Vitrina_16,Высокая,164,3,98,6,0,Низкий
DWH_Vitrina_17,Высокая,130,2,98,5,0,Низкий
DWH_Vitrina_18,Высокая,164,18,90,4,2,Низкий
DWH_Vitrina_19,Средняя,64,17,97,9,2,Низкий
DWH_Vitrina_20,Средняя,7,20,83,10,3,Средний
DWH_Vitrina_21,Средняя,138,12,79,10,1,Низкий
DWH_Vitrina_22,Высокая,37,17,71,5,1,Низкий
DWH_Vitrina_23,Низкая,153,11,79,10,0,Низкий
DWH_Vitrina_24,Низкая,169,12,97,10,3,Низкий
DWH_Vitrina_25,Высокая,109,20,95,11,6,Высокий
DWH_Vitrina_26,Низкая,181,4,98,1,6,Низкий
DWH_Vitrina_27,Низкая,70,15,92,5,2,Низкий
DWH_Vitrina_28,Высокая,17,1,88,2,7,Высокий
DWH_Vitrina_29,Низкая,178,12,97,4,2,Низкий
DWH_Vitrina_30,Высокая,107,11,77,5,2,Низкий
DWH_Vitrina_31,Высокая,70,16,87,4,6,Высокий
DWH_Vitrina_32,Средняя,83,18,87,9,3,Средний
DWH_Vitrina_33,Средняя,162,4,86,5,0,Низкий
DWH_Vitrina_34,Средняя,156,1,94,9,6,Средний
DWH_Vitrina_35,Низкая,98,8,64,3,0,Низкий
DWH_Vitrina_36,Низкая,97,4,77,8,0,Низкий
DWH_Vitrina_37,Средняя,183,9,83,1,3,Средний
DWH_Vitrina_38,Высокая,56,17,97,7,1,Низкий
DWH_Vitrina_39,Высокая,185,11,64,3,2,Низкий
DWH_Vitrina_40,Средняя,74,6,60,4,7,Средний
DWH_Vitrina_41,Высокая,177,15,65,2,4,Низкий
DWH_Vitrina_42,Низкая,119,7,80,9,6,Низкий
DWH_Vitrina_43,Средняя,171,18,85,4,6,Средний
DWH_Vitrina_44,Высокая,99,19,68,10,5,Высокий
DWH_Vitrina_45,Средняя,201,9,95,10,1,Низкий
DWH_Vitrina_46,Высокая,151,10,75,5,5,Высокий
DWH_Vitrina_47,Средняя,97,10,80,3,5,Средний
DWH_Vitrina_48,Средняя,68,12,94,3,7,Средний
DWH_Vitrina_49,Высокая,117,1,83,6,2,Низкий
DWH_Vitrina_50,Низкая,191,18,99,5,2,Низкий
DWH_Vitrina_51,Средняя,65,19,64,10,2,Низкий
DWH_Vitrina_52,Низкая,11,9,68,1,6,Низкий
DWH_Vitrina_53,Высокая,151,3,73,4,5,Высокий
DWH_Vitrina_54,Средняя,144,7,82,10,3,Средний
DWH_Vitrina_55,Низкая,87,15,85,4,4,Низкий
DWH_Vitrina_56,Низкая,78,4,74,4,7,Низкий
DWH_Vitrina_57,Средняя,115,16,62,4,3,Средний
DWH_Vitrina_58,Средняя,122,13,97,11,7,Средний
DWH_Vitrina_59,Низкая,161,21,101,2,5,Низкий
DWH_Vitrina_60,Высокая,59,7,62,4,4,Низкий
DWH_Vitrina_61,Низкая,152,11,95,2,3,Низкий
DWH_Vitrina_62,Низкая,112,11,89,8,1,Низкий
DWH_Vitrina_63,Низкая,58,5,97,5,6,Низкий
DWH_Vitrina_64,Низкая,72,10,78,4,0,Низкий
DWH_Vitrina_65,Высокая,134,16,93,4,7,Высокий
DWH_Vitrina_66,Низкая,59,4,61,10,6,Низкий
DWH_Vitrina_67,Низкая,164,3,60,8,7,Низкий
DWH_Vitrina_68,Высокая,84,21,96,2,3,Низкий
DWH_Vitrina_69,Низкая,122,18,63,9,2,Низкий
DWH_Vitrina_70,Низкая,34,11,77,9,0,Низкий
